Order,LotFrontage,LotArea,Street,LotConfig,LandSlope,BldgType,OverallQual,OverallCond,YearBuilt,BsmtQual,TotalBsmtSF,Heating,HeatingQC,CentralAir,x1stFlrSF,x2ndFlrSF,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Fireplaces,FireplaceQu,GarageType,GarageArea,GarageQual,WoodDeckSF,PoolArea,MoSold,YrSold,SalePrice,Salecat
64,92,11764,Pave,CulDSac,Gtl,1Fam,8,7,1999,Gd,1152,GasA,Ex,Y,1164,1106,2,1,4,1,Gd,9,1,Gd,Attchd,671,TA,132,0,4,2010,290000,1
65,58,16770,Pave,CulDSac,Gtl,1Fam,7,5,1998,Gd,1195,GasA,Gd,Y,1195,644,2,1,4,1,TA,7,0,NA,Attchd,486,TA,0,0,6,2010,221000,1
66,56,14720,Pave,CulDSac,Gtl,1Fam,8,5,1995,Gd,2033,GasA,Ex,Y,2053,1185,2,1,4,1,Gd,9,1,Ex,Attchd,666,TA,283,0,3,2010,410000,1
67,73,8987,Pave,Inside,Gtl,1Fam,8,5,2005,Gd,1595,GasA,Ex,Y,1595,0,2,0,2,1,Gd,6,1,Gd,Attchd,880,TA,144,0,5,2010,221500,1
68,92,9215,Pave,Inside,Gtl,1Fam,7,5,2009,Gd,1218,GasA,Ex,Y,1218,0,2,0,2,1,Gd,4,0,NA,Attchd,676,TA,0,0,4,2010,204500,1
69,72,8640,Pave,Inside,Gtl,1Fam,7,5,2009,Gd,756,GasA,Ex,Y,764,783,2,1,3,1,Gd,7,0,NA,Attchd,614,TA,169,0,6,2010,215200,1
70,75,9000,Pave,Inside,Gtl,1Fam,8,5,2008,Gd,1566,GasA,Ex,Y,1566,0,2,0,3,1,Gd,7,0,NA,Attchd,750,TA,144,0,4,2010,262500,1
71,100,12552,Pave,Corner,Gtl,1Fam,7,5,2004,Gd,991,GasA,Ex,Y,991,956,2,1,3,1,Gd,8,1,Gd,Attchd,678,TA,0,0,5,2010,254900,1
72,84,10440,Pave,Corner,Gtl,1Fam,6,5,2005,Ex,1468,GasA,Ex,Y,1468,0,2,0,2,1,Gd,6,1,Gd,Attchd,528,TA,0,0,5,2010,271500,1
73,76,10142,Pave,Inside,Gtl,1Fam,7,5,2004,Gd,956,GasA,Ex,Y,956,1128,2,1,4,1,Gd,8,0,NA,BuiltIn,618,TA,0,0,1,2010,233000,1
74,70,11920,Pave,Inside,Gtl,1Fam,7,5,2004,Gd,831,GasA,Ex,Y,831,828,2,1,3,1,Gd,8,0,NA,Attchd,484,TA,144,0,4,2010,181000,1
75,,8880,Pave,Inside,Gtl,1Fam,7,5,1994,Gd,948,GasA,Ex,Y,1222,888,2,1,3,1,Gd,8,2,Fa,Attchd,463,TA,0,0,5,2010,205000,1
76,50,8012,Pave,Inside,Gtl,TwnhsE,6,5,1980,Gd,923,GasA,TA,Y,923,0,2,0,2,1,TA,5,1,TA,Attchd,264,TA,80,0,5,2010,143000,0
77,70,11218,Pave,Inside,Gtl,1Fam,6,5,1992,Gd,1055,GasA,Ex,Y,1055,790,2,1,3,1,Gd,8,1,TA,Attchd,462,TA,635,0,5,2010,189000,1
78,55,7892,Pave,Inside,Gtl,TwnhsE,6,5,1979,Gd,918,GasA,TA,Y,918,0,2,0,2,1,TA,5,1,TA,Attchd,264,TA,28,0,4,2010,99500,0
79,50,7175,Pave,Inside,Gtl,TwnhsE,6,5,1984,Gd,744,GasA,TA,Y,752,0,1,0,2,1,TA,4,0,NA,Attchd,264,TA,353,0,2,2010,125000,0
80,,9453,Pave,CulDSac,Gtl,1Fam,7,7,1993,Gd,996,GasA,Ex,Y,1014,730,2,1,3,1,Gd,7,0,NA,Attchd,457,TA,370,0,2,2010,194500,1
81,81,9672,Pave,Corner,Gtl,1Fam,6,5,1984,Gd,1040,GasA,TA,Y,1097,0,2,0,3,1,TA,6,0,NA,Attchd,480,TA,0,0,5,2010,152000,1
82,70,8400,Pave,Inside,Gtl,1Fam,6,6,1980,Gd,650,GasA,TA,Y,888,676,2,1,3,1,TA,7,1,TA,Attchd,476,TA,0,0,4,2010,171000,1
83,70,9800,Pave,Corner,Gtl,1Fam,5,5,1920,TA,816,GasA,TA,N,1012,0,1,0,2,1,TA,5,0,NA,Detchd,429,TA,121,0,4,2010,67500,0
84,68,8930,Pave,Inside,Gtl,Duplex,6,5,1978,NA,0,GasA,TA,Y,1318,584,2,0,4,2,TA,8,0,NA,Attchd,539,TA,0,0,4,2010,112000,0
85,88,11782,Pave,Inside,Gtl,1Fam,5,7,1961,TA,1109,GasA,TA,Y,1155,0,1,0,3,1,Gd,6,0,NA,Detchd,576,TA,192,0,6,2010,148000,0
86,65,8450,Pave,Inside,Gtl,1Fam,5,8,1965,TA,894,GasA,Ex,Y,894,0,1,0,3,1,TA,5,1,Gd,Detchd,336,TA,416,0,4,2010,138500,0
87,,9819,Pave,Inside,Gtl,1Fam,5,5,1967,TA,882,GasA,TA,Y,900,0,1,0,3,1,TA,5,0,NA,Detchd,280,TA,0,0,2,2010,122000,0
88,75,7500,Pave,Corner,Gtl,1Fam,5,5,1963,TA,1040,GasA,Fa,Y,1040,0,1,1,3,1,TA,5,0,NA,Attchd,308,TA,0,0,6,2010,133000,0
89,,6897,Pave,Corner,Gtl,1Fam,5,8,1962,TA,1040,GasA,Ex,Y,1040,0,1,1,3,1,TA,6,0,NA,Detchd,260,TA,0,0,4,2010,127000,0
90,39,15410,Pave,CulDSac,Gtl,1Fam,6,6,1974,TA,1208,GasA,Ex,Y,1494,0,2,0,3,1,TA,7,2,Fa,Attchd,461,TA,296,0,4,2010,169000,1
91,107,10186,Pave,Inside,Gtl,1Fam,7,5,1992,Gd,750,GasA,Ex,Y,1061,862,2,1,3,1,Gd,8,1,TA,Attchd,564,TA,240,0,6,2010,190000,1
92,85,13143,Pave,Inside,Gtl,1Fam,8,5,1993,Gd,1231,GasA,Ex,Y,1251,1098,2,1,4,1,Gd,9,1,TA,Attchd,762,TA,32,0,6,2010,362500,1
93,88,11134,Pave,Inside,Gtl,1Fam,8,5,1992,Gd,1390,GasA,Ex,Y,1402,823,2,1,4,1,Gd,7,1,TA,Attchd,713,TA,198,0,6,2010,285000,1
94,25,4835,Pave,CulDSac,Gtl,TwnhsE,7,5,2004,Ex,1488,GasA,Ex,Y,1488,0,2,0,2,1,Gd,6,1,Gd,Attchd,506,TA,168,0,3,2010,260000,1
95,39,3515,Pave,Inside,Gtl,TwnhsE,7,5,2004,Gd,840,GasA,Ex,Y,840,840,2,1,2,1,Gd,3,0,NA,Attchd,588,TA,0,0,1,2010,190000,1
96,30,3215,Pave,Inside,Gtl,TwnhsE,7,5,2004,Gd,600,GasA,Ex,Y,600,600,2,1,2,1,Gd,4,0,NA,Detchd,480,TA,0,0,4,2010,155000,1
97,30,3182,Pave,Inside,Gtl,TwnhsE,7,5,2004,Gd,600,GasA,Ex,Y,600,600,2,1,2,1,Gd,4,0,NA,Detchd,480,TA,0,0,6,2010,151000,1
98,24,2544,Pave,Inside,Gtl,Twnhs,7,5,2004,Gd,600,GasA,Ex,Y,600,600,2,1,2,1,Gd,4,0,NA,Detchd,480,TA,0,0,2,2010,149500,0
99,24,2544,Pave,Inside,Gtl,Twnhs,6,5,2005,Gd,600,GasA,Ex,Y,600,636,2,1,2,1,Gd,4,0,NA,Detchd,480,TA,0,0,5,2010,152000,1
100,,4403,Pave,Inside,Gtl,1Fam,7,5,2009,Ex,1470,GasA,Ex,Y,1478,0,2,1,2,1,Gd,7,1,Gd,Attchd,484,TA,0,0,6,2010,222000,1
101,,2117,Pave,Inside,Gtl,Twnhs,6,5,2000,Gd,756,GasA,Ex,Y,769,804,2,1,3,1,Gd,5,0,NA,Detchd,440,TA,0,0,6,2010,177500,1
102,,2980,Pave,Corner,Gtl,TwnhsE,6,5,2000,Gd,756,GasA,Ex,Y,756,756,2,1,2,1,Gd,5,0,NA,Detchd,440,TA,0,0,5,2010,177000,1
103,24,2572,Pave,FR2,Gtl,Twnhs,7,5,1999,Gd,696,GasA,Ex,Y,696,720,2,1,3,1,Gd,6,0,NA,Detchd,484,TA,0,0,5,2010,155000,1
104,,2403,Pave,FR2,Gtl,TwnhsE,7,5,2003,Gd,530,GasA,Ex,Y,530,550,2,1,2,1,Gd,4,0,NA,Attchd,496,TA,0,0,6,2010,147110,0
105,57,12853,Pave,Inside,Gtl,1Fam,8,5,2010,Ex,1642,GasA,Ex,Y,1418,0,1,1,1,1,Gd,6,1,Gd,Attchd,852,TA,160,0,4,2010,267916,1
106,68,7379,Pave,Inside,Gtl,1Fam,8,5,2000,Gd,975,GasA,Ex,Y,975,873,2,1,3,1,Gd,7,1,TA,Attchd,592,TA,280,0,4,2010,254000,1
107,30,4420,Pave,CulDSac,Gtl,TwnhsE,8,5,1980,Gd,728,GasA,TA,Y,788,0,1,0,1,1,Gd,3,1,TA,Detchd,484,TA,133,0,6,2010,155000,1
108,40,3880,Pave,Inside,Gtl,Twnhs,8,6,1978,Gd,1226,GasA,TA,Y,1226,0,1,0,1,1,Gd,4,1,TA,Attchd,484,TA,223,0,1,2010,206000,1
109,,13517,Pave,CulDSac,Gtl,1Fam,6,8,1976,TA,725,GasA,Ex,Y,725,754,2,1,3,1,Gd,6,0,NA,Attchd,475,TA,0,0,3,2010,130500,0
110,80,8000,Pave,Inside,Gtl,1Fam,7,5,2002,Gd,1492,GasA,Ex,Y,1492,0,2,0,3,1,Gd,6,1,Gd,Attchd,596,TA,277,0,4,2010,230000,1
111,,10456,Pave,Inside,Gtl,1Fam,6,6,1967,TA,1829,GasA,Gd,Y,1829,0,2,0,4,1,TA,8,0,NA,Attchd,535,TA,0,0,5,2010,218500,1
112,80,10791,Pave,Inside,Gtl,1Fam,6,5,1993,Gd,1280,GasA,Ex,Y,1280,1215,2,1,4,1,Gd,9,1,TA,Attchd,660,TA,224,0,3,2010,243500,1
113,,10603,Pave,Inside,Gtl,1Fam,6,7,1977,TA,1610,GasA,Gd,Y,1610,0,2,0,3,1,Gd,6,2,TA,Attchd,480,TA,168,0,2,2010,205000,1
114,,18837,Pave,Inside,Gtl,1Fam,6,5,1978,Gd,1224,GasA,TA,Y,1287,604,3,0,3,1,TA,7,1,TA,Attchd,678,TA,0,0,4,2010,212500,1
115,80,10421,Pave,Inside,Gtl,1Fam,7,5,1988,Gd,980,GasA,TA,Y,980,734,2,1,3,1,TA,7,1,TA,Attchd,496,TA,228,0,3,2010,196500,1
116,78,9360,Pave,Inside,Gtl,1Fam,6,7,1972,TA,1161,GasA,TA,Y,1381,0,1,1,3,1,Gd,5,1,TA,Attchd,676,TA,0,0,3,2010,197500,1
117,80,9600,Pave,Inside,Gtl,1Fam,6,6,1971,TA,715,GasA,TA,Y,930,715,1,2,4,1,TA,7,0,NA,Attchd,441,TA,0,0,6,2010,171000,1
118,80,9600,Pave,Inside,Gtl,1Fam,5,5,1966,TA,1232,GasA,TA,Y,1232,0,1,1,3,1,TA,6,0,NA,Attchd,490,TA,0,0,4,2010,142250,0
119,,9790,Pave,Inside,Gtl,1Fam,6,5,1963,TA,1328,GasA,TA,Y,1328,0,1,1,3,1,TA,6,2,Gd,Attchd,528,TA,0,0,6,2010,143000,0
120,77,9320,Pave,Inside,Gtl,1Fam,4,5,1959,TA,950,GasA,Fa,Y,1225,0,1,1,3,1,TA,6,0,NA,NA,0,NA,352,0,1,2010,128950,0
121,90,9900,Pave,Corner,Gtl,1Fam,5,5,1966,Gd,1209,GasA,Gd,Y,1209,0,1,0,3,1,TA,6,0,NA,Attchd,504,TA,0,0,4,2010,159000,1
122,88,9680,Pave,Inside,Gtl,1Fam,5,6,1967,TA,1510,GasA,Ex,Y,1510,0,2,0,3,1,Gd,6,0,NA,Attchd,517,TA,0,0,4,2010,178900,1
123,,10600,Pave,Inside,Gtl,1Fam,6,5,1964,TA,533,GasA,TA,Y,1131,644,2,0,3,1,TA,8,0,NA,Attchd,480,TA,0,0,5,2010,136300,0
124,,14112,Pave,Corner,Gtl,1Fam,5,7,1964,TA,1152,GasA,TA,Y,1152,0,1,0,3,1,TA,6,1,Gd,Attchd,484,TA,227,0,4,2010,180500,1
125,80,8800,Pave,Inside,Gtl,1Fam,6,7,1963,TA,936,GasA,Ex,Y,1054,0,1,0,3,1,Gd,6,0,NA,Attchd,480,TA,120,0,5,2010,137500,0
126,98,13260,Pave,Inside,Gtl,Duplex,5,6,1962,TA,1728,GasA,TA,Y,1728,0,2,0,6,2,TA,10,0,NA,NA,0,NA,0,0,1,2010,84900,0
127,68,9717,Pave,Inside,Gtl,1Fam,5,6,1950,TA,1078,GasA,Gd,Y,1078,0,1,0,2,1,Gd,5,0,NA,Attchd,240,TA,366,0,4,2010,142125,0
128,68,9724,Pave,Inside,Gtl,1Fam,5,7,1952,TA,1140,GasA,Gd,Y,1929,532,2,0,3,1,TA,7,2,Gd,Detchd,400,TA,0,0,3,2010,197600,1
129,120,17360,Pave,Corner,Gtl,1Fam,6,6,1949,TA,782,GasA,TA,Y,1019,537,2,0,3,1,TA,6,1,Gd,Attchd,470,TA,0,0,1,2010,172500,1
130,50,7207,Pave,Inside,Gtl,1Fam,5,7,1958,TA,858,GasA,Gd,Y,858,0,1,0,2,1,TA,4,0,NA,NA,0,NA,117,0,2,2010,116500,0
131,55,5350,Pave,Inside,Gtl,1Fam,3,2,1940,TA,728,GasA,Ex,Y,1306,0,1,0,3,1,Fa,6,0,NA,NA,0,NA,263,0,5,2010,76500,0
132,80,9920,Pave,Inside,Gtl,1Fam,5,5,1954,TA,1056,GasA,TA,Y,1063,0,1,0,3,1,TA,6,0,NA,Attchd,280,TA,0,0,2,2010,128000,0
133,80,9600,Pave,Inside,Gtl,1Fam,6,6,1955,TA,1156,GasA,Ex,Y,1520,0,1,0,3,1,TA,7,2,Gd,Basment,364,TA,0,0,3,2010,153000,1
134,78,7800,Pave,Inside,Gtl,1Fam,5,6,1954,TA,1268,GasA,Gd,Y,1268,0,1,0,2,1,TA,7,1,Gd,Attchd,244,TA,0,0,3,2010,132000,0
135,75,11380,Pave,Inside,Gtl,1Fam,6,8,1966,TA,1080,GasA,Gd,Y,1128,0,1,0,2,1,Gd,5,1,Gd,Attchd,315,TA,238,0,1,2010,178000,1
136,80,11600,Pave,Corner,Gtl,Duplex,5,5,1960,TA,1105,GasA,TA,Y,1105,1169,2,0,5,2,TA,12,0,NA,Detchd,480,TA,0,0,1,2010,154300,1
137,,19900,Pave,Inside,Gtl,1Fam,7,5,1970,Gd,1947,GasA,TA,Y,2207,0,2,0,3,1,TA,7,1,Gd,Attchd,576,TA,301,0,7,2010,180000,1
138,137,16492,Pave,Corner,Gtl,1Fam,6,6,1966,TA,1517,GasA,Ex,Y,1888,0,2,1,2,1,Gd,6,1,Gd,Attchd,578,TA,0,0,6,2010,190000,1
139,70,8267,Pave,Corner,Gtl,Duplex,5,5,1958,TA,1604,GasA,TA,Y,1604,0,2,0,4,2,TA,8,0,NA,Attchd,576,TA,42,0,3,2010,135000,0
